2,000    3,000    -1,000000e+00    7,389056e+00     8,389056e+00
4,610    3,038    -1,000000e+00    1,004660e+02     1,014660e+02
4,235    3,152    -1,000000e+00    6,903635e+01     7,003635e+01
3,889    3,337    -1,000000e+00    4,885514e+01     4,985514e+01
3,586    3,586    -1,000000e+00    3,608172e+01     3,708172e+01
3,337    3,889    -1,000000e+00    2,813631e+01     2,913631e+01
3,152    4,235    -1,000000e+00    2,338842e+01     2,438842e+01
3,038    4,610    -1,000000e+00    2,087244e+01     2,187244e+01
3,000    5,000    -1,000000e+00    2,008554e+01     2,108554e+01
2,000    3,167    -1,000000e+00    6,735185e+01     6,835185e+01
4,642    3,202    -1,000000e+00    6,205322e+01     6,305322e+01
4,298    3,306    -1,000000e+00    5,158000e+01     5,258000e+01
3,981    3,476    -1,000000e+00    4,044984e+01     4,144984e+01
3,704    3,704    -1,000000e+00    3,315568e+01     3,415568e+01
3,476    3,981    -1,000000e+00    3,439547e+01     3,539547e+01
3,306    4,298    -1,000000e+00    3,089775e+01     3,189775e+01
3,202    4,642    -1,000000e+00    2,674008e+01     2,774008e+01
3,167    5,000    -1,000000e+00    2,372826e+01     2,472826e+01
2,000    3,333    -1,000000e+00    5,069332e+01     5,169332e+01
4,675    3,365    -1,000000e+00    4,738485e+01     4,838485e+01
4,362    3,460    -1,000000e+00    4,128396e+01     4,228396e+01
4,074    3,614    -1,000000e+00    3,472546e+01     3,572546e+01
3,821    3,821    -1,000000e+00    3,667866e+01     3,767866e+01
3,614    4,074    -1,000000e+00    4,377886e+01     4,477886e+01
3,460    4,362    -1,000000e+00    3,730094e+01     3,830094e+01
3,365    4,675    -1,000000e+00    3,268298e+01     3,368298e+01
3,333    5,000    -1,000000e+00    2,803162e+01     2,903162e+01
2,000    3,500    -1,000000e+00    4,022520e+01     4,122520e+01
4,707    3,529    -1,000000e+00    3,795710e+01     3,895710e+01
4,426    3,614    -1,000000e+00    3,477852e+01     3,577852e+01
4,167    3,753    -1,000000e+00    3,573910e+01     3,673910e+01
3,939    3,939    -1,000000e+00    4,932562e+01     5,032562e+01
3,753    4,167    -1,000000e+00    5,230252e+01     5,330252e+01
3,614    4,426    -1,000000e+00    4,294733e+01     4,394733e+01
3,529    4,707    -1,000000e+00    3,861588e+01     3,961588e+01
3,500    5,000    -1,000000e+00    3,311545e+01     3,411545e+01
2,000    3,667    -1,000000e+00    3,688469e+01     3,788469e+01
4,740    3,692    -1,000000e+00    3,463864e+01     3,563864e+01
4,490    3,768    -1,000000e+00    3,715174e+01     3,815174e+01
4,259    3,891    -1,000000e+00    5,238254e+01     5,338254e+01
4,057    4,057    -1,000000e+00    6,542425e+01     6,642425e+01
3,891    4,259    -1,000000e+00    5,746696e+01     5,846696e+01
3,768    4,490    -1,000000e+00    4,836207e+01     4,936207e+01
3,692    4,740    -1,000000e+00    4,445815e+01     4,545815e+01
3,667    5,000    -1,000000e+00    3,912128e+01     4,012128e+01
2,000    3,833    -1,000000e+00    4,938133e+01     5,038133e+01
4,772    3,856    -1,000000e+00    4,732991e+01     4,832991e+01
4,554    3,922    -1,000000e+00    6,663558e+01     6,763558e+01
4,352    4,030    -1,000000e+00    8,028141e+01     8,128141e+01
4,175    4,175    -1,000000e+00    7,259123e+01     7,359123e+01
4,030    4,352    -1,000000e+00    6,090422e+01     6,190422e+01
3,922    4,554    -1,000000e+00    5,370630e+01     5,470630e+01
3,856    4,772    -1,000000e+00    5,015058e+01     5,115058e+01
3,833    5,000    -1,000000e+00    4,621634e+01     4,721634e+01
2,000    4,000    -1,000000e+00    7,389056e+00     8,389056e+00
4,805    4,019    -1,000000e+00    1,221085e+02     1,231085e+02
4,617    4,076    -1,000000e+00    1,012220e+02     1,022220e+02
4,444    4,169    -1,000000e+00    8,515131e+01     8,615131e+01
4,293    4,293    -1,000000e+00    7,317788e+01     7,417788e+01
4,169    4,444    -1,000000e+00    6,462042e+01     6,562042e+01
4,076    4,617    -1,000000e+00    5,891646e+01     5,991646e+01
4,019    4,805    -1,000000e+00    5,565738e+01     5,665738e+01
4,000    5,000    -1,000000e+00    5,459815e+01     5,559815e+01
